dataset,borrower_id_count,account_count
calls,1,4418
calls,2,6627
calls,3,6785
calls,4,5031
calls,5,3011
calls,6,1505
calls,7,653
calls,8,265
calls,9,80
calls,10,23
calls,11,7
calls,12,2
calls,13,1
call_attempts,1,2127
call_attempts,2,4423
call_attempts,3,5954
call_attempts,4,5820
call_attempts,5,4733
call_attempts,6,3064
call_attempts,7,1830
call_attempts,8,867
call_attempts,9,396
call_attempts,10,151
call_attempts,11,56
call_attempts,12,23
call_attempts,13,4
call_attempts,14,2
call_attempts,16,1
call_dispositions,1,10793
call_dispositions,2,6438
call_dispositions,3,2421
call_dispositions,4,732
call_dispositions,5,183
call_dispositions,6,28
call_dispositions,7,7
call_dispositions,8,1
payments,1,10820
payments,2,4534
payments,3,1279
payments,4,242
payments,5,48
payments,6,10
payments,7,1
promises_to_pay,1,9857
promises_to_pay,2,2997
promises_to_pay,3,576
promises_to_pay,4,92
promises_to_pay,5,8
promises_to_pay,6,2
complaints,1,6163
complaints,2,783
complaints,3,81
complaints,4,7
field_visits,1,10781
field_visits,2,4535
field_visits,3,1280
field_visits,4,261
field_visits,5,42
field_visits,6,8
field_visits,7,1
sms_events,1,9914
sms_events,2,7548
sms_events,3,3771
sms_events,4,1386
sms_events,5,437
sms_events,6,124
sms_events,7,18
sms_events,8,7
sms_events,9,1
sms_events,11,1
whatsapp_events,1,8006
whatsapp_events,2,8278
whatsapp_events,3,5417
whatsapp_events,4,2615
whatsapp_events,5,1113
whatsapp_events,6,349
whatsapp_events,7,114
whatsapp_events,8,26
whatsapp_events,9,3
whatsapp_events,10,2
whatsapp_events,11,1
account_status_history,1,8179
account_status_history,2,8157
account_status_history,3,5357
account_status_history,4,2759
account_status_history,5,1063
account_status_history,6,353
account_status_history,7,94
account_status_history,8,32
account_status_history,9,5
