agent_id,rows,employee_code_unique,agent_name_unique,vendor_id_unique,team_unique,status_unique,joined_at_unique,updated_at_unique
AGT0000001,23,23,10,10,5,3,23,23
AGT0000002,23,23,10,12,5,3,23,23
AGT0000003,28,28,10,12,5,3,28,28
AGT0000004,28,28,10,12,5,3,28,28
AGT0000005,29,29,10,15,5,3,29,29
AGT0000006,37,37,10,15,5,3,37,37
AGT0000007,30,29,10,15,5,3,30,30
AGT0000008,29,29,10,12,5,3,29,29
AGT0000009,25,24,10,12,5,3,25,25
AGT0000010,26,26,10,15,5,3,26,26
AGT0000011,28,27,9,14,5,3,28,28
AGT0000012,35,34,10,13,5,3,35,35
AGT0000013,24,24,9,10,5,3,24,24
AGT0000014,33,31,10,13,5,3,33,33
AGT0000015,20,20,9,10,5,3,20,20
AGT0000016,39,39,10,13,5,3,39,39
AGT0000017,33,33,10,13,5,3,33,33
AGT0000018,32,31,8,13,5,3,32,32
AGT0000019,25,25,9,12,5,3,25,25
AGT0000020,34,34,10,13,5,3,34,34
AGT0000021,21,21,8,9,5,3,21,21
AGT0000022,26,26,9,13,5,3,26,26
AGT0000023,29,29,10,15,5,3,29,29
AGT0000024,25,25,9,11,5,3,25,25
AGT0000025,25,25,10,13,5,3,25,25
AGT0000026,32,32,10,14,5,3,32,32
AGT0000027,32,31,10,13,5,3,32,32
AGT0000028,28,28,9,12,5,3,28,28
AGT0000029,41,40,10,15,5,3,41,41
AGT0000030,37,36,10,14,5,3,37,37
AGT0000031,22,22,9,13,5,3,22,22
AGT0000032,21,21,9,12,5,3,21,21
AGT0000033,27,27,10,11,5,3,27,27
AGT0000034,37,37,9,14,5,3,37,37
AGT0000035,32,31,10,14,5,3,32,32
AGT0000036,34,34,10,14,5,3,34,34
AGT0000037,28,28,10,13,5,3,28,28
AGT0000038,31,31,9,13,5,3,31,31
AGT0000039,29,29,9,14,5,3,29,29
AGT0000040,23,22,9,11,5,3,23,23
AGT0000041,34,34,10,14,5,3,34,34
AGT0000042,22,22,8,13,5,3,22,22
AGT0000043,34,34,9,14,5,3,34,34
AGT0000044,33,33,10,15,5,3,33,33
AGT0000045,34,32,10,13,5,3,34,34
AGT0000046,30,29,9,13,5,3,30,30
AGT0000047,24,24,9,12,5,3,24,24
AGT0000048,37,36,10,15,5,3,37,37
AGT0000049,31,31,10,15,5,3,31,31
AGT0000050,27,26,9,13,5,3,27,27
AGT0000051,38,38,10,14,5,3,38,38
AGT0000052,31,30,10,13,5,3,31,31
AGT0000053,38,38,10,13,5,3,38,38
AGT0000054,32,30,10,12,5,3,32,32
AGT0000055,27,27,8,11,5,3,27,27
AGT0000056,44,44,10,15,5,3,44,44
AGT0000057,29,29,10,15,5,3,29,29
AGT0000058,27,27,9,14,5,3,27,27
AGT0000059,26,26,10,12,5,3,26,26
AGT0000060,31,30,9,14,5,3,31,31
AGT0000061,37,37,10,13,5,3,37,37
AGT0000062,28,26,9,10,5,3,28,28
AGT0000063,32,32,10,13,5,3,32,32
AGT0000064,29,29,9,11,5,3,29,29
AGT0000065,28,27,10,13,5,3,28,28
AGT0000066,32,31,10,14,5,3,32,32
AGT0000067,22,21,9,12,5,3,22,22
AGT0000068,24,24,9,14,5,3,24,24
AGT0000069,31,31,10,15,5,3,31,31
AGT0000070,27,27,8,13,5,3,27,27
AGT0000071,32,31,9,13,5,3,32,32
AGT0000072,24,24,9,13,5,3,24,24
AGT0000073,35,35,10,15,5,3,35,35
AGT0000074,36,35,9,14,5,3,36,36
AGT0000075,24,23,10,12,5,3,24,24
AGT0000076,21,21,10,13,5,3,21,21
AGT0000077,24,24,9,12,5,3,24,24
AGT0000078,36,35,10,14,5,3,36,36
AGT0000079,33,33,10,14,5,3,33,33
AGT0000080,32,32,9,14,5,3,32,32
AGT0000081,25,25,9,11,5,3,25,25
AGT0000082,23,23,9,11,5,3,23,23
AGT0000083,34,34,9,14,5,3,34,34
AGT0000084,40,40,9,15,5,3,40,40
AGT0000085,32,32,9,15,5,3,32,32
AGT0000086,32,31,10,13,5,3,32,32
AGT0000087,26,26,10,11,5,3,26,26
AGT0000088,30,30,10,14,5,3,30,30
AGT0000089,28,27,10,11,5,3,28,28
AGT0000090,25,25,10,13,5,3,25,25
AGT0000091,40,38,10,15,5,3,40,40
AGT0000092,36,36,10,14,5,3,36,36
AGT0000093,28,28,10,12,5,3,28,28
AGT0000094,27,27,10,12,5,3,27,27
