call_id,rows,account_id_unique,borrower_id_unique,event_at_unique,agent_id_unique,campaign_id_unique,direction_unique,vendor_id_unique,call_status_unique,duration_sec_unique,timezone_unique,difference_count,exact_duplicate
CALL0000050,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0000078,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0000097,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0000201,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0000226,2,1,1,2,1,1,1,1,1,1,1,1,False
CALL0000285,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0000374,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0000510,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0000772,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0000803,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0000822,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0000845,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0000872,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0000935,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0001109,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0001236,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0001354,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0001424,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0001507,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0001518,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0001606,2,1,1,1,2,1,1,1,1,1,1,1,False
CALL0001662,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0001671,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0001811,2,1,1,1,2,1,1,1,1,1,1,1,False
CALL0001881,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0001904,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0002100,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0002177,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0002266,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0002327,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0002478,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0002481,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0002623,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0002685,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0002707,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0002720,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0002756,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0002830,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0002896,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0003082,2,1,1,1,2,1,1,1,1,1,1,1,False
CALL0003091,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0003107,2,1,1,1,1,1,1,1,1,1,1,0,True
CALL0003160,2,1,1,1,1,1,1,1,1,1,1,0,True
