call_id,rows,event_at_conflict,agent_id_conflict,account_id_conflict,borrower_id_conflict,campaign_id_conflict,direction_conflict,vendor_id_conflict,call_status_conflict,duration_conflict,timezone_conflict
CALL0000226,2,True,False,False,False,False,False,False,False,False,False
CALL0001606,2,False,True,False,False,False,False,False,False,False,False
CALL0001811,2,False,True,False,False,False,False,False,False,False,False
CALL0003082,2,False,True,False,False,False,False,False,False,False,False
CALL0004229,2,False,True,False,False,False,False,False,False,False,False
CALL0005099,2,True,False,False,False,False,False,False,False,False,False
CALL0007215,2,False,True,False,False,False,False,False,False,False,False
CALL0008417,2,False,True,False,False,False,False,False,False,False,False
CALL0008648,2,True,False,False,False,False,False,False,False,False,False
CALL0012980,2,False,True,False,False,False,False,False,False,False,False
CALL0013422,2,False,True,False,False,False,False,False,False,False,False
CALL0013470,2,True,False,False,False,False,False,False,False,False,False
CALL0013628,2,False,True,False,False,False,False,False,False,False,False
CALL0016340,2,False,True,False,False,False,False,False,False,False,False
CALL0016871,2,False,True,False,False,False,False,False,False,False,False
CALL0017183,2,False,True,False,False,False,False,False,False,False,False
CALL0017779,2,False,True,False,False,False,False,False,False,False,False
CALL0018040,2,False,True,False,False,False,False,False,False,False,False
CALL0018859,2,False,True,False,False,False,False,False,False,False,False
CALL0018861,2,False,True,False,False,False,False,False,False,False,False
CALL0021600,2,False,True,False,False,False,False,False,False,False,False
CALL0021603,2,False,True,False,False,False,False,False,False,False,False
CALL0025900,2,False,True,False,False,False,False,False,False,False,False
CALL0026967,2,False,True,False,False,False,False,False,False,False,False
CALL0028348,2,False,True,False,False,False,False,False,False,False,False
CALL0029435,2,False,True,False,False,False,False,False,False,False,False
CALL0029906,2,False,True,False,False,False,False,False,False,False,False
CALL0030348,2,False,True,False,False,False,False,False,False,False,False
CALL0033129,2,False,True,False,False,False,False,False,False,False,False
CALL0033199,2,False,True,False,False,False,False,False,False,False,False
CALL0033457,2,False,True,False,False,False,False,False,False,False,False
CALL0034433,2,False,True,False,False,False,False,False,False,False,False
CALL0036671,2,False,True,False,False,False,False,False,False,False,False
CALL0039063,2,False,True,False,False,False,False,False,False,False,False
CALL0041749,2,False,True,False,False,False,False,False,False,False,False
CALL0043230,2,False,True,False,False,False,False,False,False,False,False
CALL0043349,2,False,True,False,False,False,False,False,False,False,False
CALL0044600,2,False,True,False,False,False,False,False,False,False,False
CALL0045167,2,False,True,False,False,False,False,False,False,False,False
CALL0045244,2,False,True,False,False,False,False,False,False,False,False
CALL0045942,2,False,True,False,False,False,False,False,False,False,False
CALL0047204,2,False,True,False,False,False,False,False,False,False,False
CALL0047759,2,False,True,False,False,False,False,False,False,False,False
CALL0051817,2,False,True,False,False,False,False,False,False,False,False
CALL0051979,2,False,True,False,False,False,False,False,False,False,False
CALL0052646,2,False,True,False,False,False,False,False,False,False,False
CALL0052717,2,False,True,False,False,False,False,False,False,False,False
CALL0052748,2,False,True,False,False,False,False,False,False,False,False
CALL0054426,2,False,True,False,False,False,False,False,False,False,False
CALL0055570,2,False,True,False,False,False,False,False,False,False,False
CALL0056387,2,False,True,False,False,False,False,False,False,False,False
CALL0056697,2,True,False,False,False,False,False,False,False,False,False
CALL0059442,2,True,False,False,False,False,False,False,False,False,False
CALL0060871,2,False,True,False,False,False,False,False,False,False,False
CALL0062727,2,False,True,False,False,False,False,False,False,False,False
CALL0062780,2,False,True,False,False,False,False,False,False,False,False
CALL0063147,2,False,True,False,False,False,False,False,False,False,False
CALL0063660,2,True,False,False,False,False,False,False,False,False,False
CALL0065801,2,False,True,False,False,False,False,False,False,False,False
CALL0066507,2,False,True,False,False,False,False,False,False,False,False
CALL0067311,2,False,True,False,False,False,False,False,False,False,False
CALL0069513,2,False,True,False,False,False,False,False,False,False,False
CALL0070346,2,False,True,False,False,False,False,False,False,False,False
CALL0071592,2,False,True,False,False,False,False,False,False,False,False
CALL0075640,2,False,True,False,False,False,False,False,False,False,False
CALL0076303,2,True,False,False,False,False,False,False,False,False,False
CALL0076573,2,False,True,False,False,False,False,False,False,False,False
CALL0076841,2,False,True,False,False,False,False,False,False,False,False
CALL0077078,2,True,False,False,False,False,False,False,False,False,False
CALL0077270,2,False,True,False,False,False,False,False,False,False,False
CALL0079063,2,True,False,False,False,False,False,False,False,False,False
CALL0079088,2,False,True,False,False,False,False,False,False,False,False
CALL0081466,2,True,False,False,False,False,False,False,False,False,False
CALL0083925,2,False,True,False,False,False,False,False,False,False,False
CALL0084576,2,False,True,False,False,False,False,False,False,False,False
CALL0085213,2,False,True,False,False,False,False,False,False,False,False
CALL0085265,2,False,True,False,False,False,False,False,False,False,False
CALL0085590,2,False,True,False,False,False,False,False,False,False,False
CALL0087769,2,False,True,False,False,False,False,False,False,False,False
