campaign_id,campaign_name,channel,strategy_version,call_volume,answered_calls,answer_rate_pct
CMP0000065,30DPD_W1,WHATSAPP,v3,775,176,22.70967741935484
CMP0000010,30DPD_W1,FIELD,v1,727,164,22.558459422283356
CMP0000003,30DPD_W1,MIXED,v1,732,164,22.404371584699454
CMP0000020,NPA_RECOVERY,WHATSAPP,v3,727,162,22.283356258596974
CMP0000032,NPA_RECOVERY,MIXED,v2,713,157,22.019635343618514
CMP0000064,60DPD_INTENT,FIELD,v2,764,168,21.98952879581152
CMP0000087,60DPD_INTENT,SMS,legacy,728,159,21.84065934065934
CMP0000043,NPA_RECOVERY,WHATSAPP,legacy,724,158,21.823204419889503
CMP0000115,BOUNCE,FIELD,v2,770,168,21.818181818181817
CMP0000112,60DPD_INTENT,MIXED,v3,784,171,21.81122448979592
CMP0000058,BOUNCE,VOICE,legacy,789,172,21.799746514575414
CMP0000057,30DPD_W1,MIXED,v3,755,164,21.721854304635762
CMP0000036,30DPD_W1,SMS,v1,792,172,21.71717171717172
CMP0000093,60DPD_INTENT,SMS,legacy,747,161,21.5528781793842
CMP0000105,BOUNCE,FIELD,v2,753,162,21.51394422310757
CMP0000009,60DPD_INTENT,WHATSAPP,v1,735,158,21.496598639455783
CMP0000051,DIGITAL_FOLLOWUP,WHATSAPP,v1,727,156,21.458046767537827
CMP0000075,30DPD_W1,WHATSAPP,v3,741,159,21.45748987854251
CMP0000067,30DPD_W1,MIXED,v2,735,157,21.360544217687075
CMP0000089,DIGITAL_FOLLOWUP,WHATSAPP,legacy,754,160,21.220159151193634
CMP0000066,60DPD_INTENT,WHATSAPP,v2,727,153,21.04539202200825
CMP0000091,DIGITAL_FOLLOWUP,VOICE,v3,738,155,21.00271002710027
CMP0000094,60DPD_INTENT,WHATSAPP,v3,744,156,20.967741935483872
CMP0000111,30DPD_W1,FIELD,v1,747,156,20.883534136546185
CMP0000079,NPA_RECOVERY,MIXED,legacy,804,167,20.771144278606965
CMP0000045,30DPD_W1,VOICE,v2,756,157,20.767195767195766
CMP0000062,NPA_RECOVERY,SMS,legacy,732,152,20.76502732240437
CMP0000059,30DPD_W1,MIXED,legacy,753,156,20.717131474103585
CMP0000061,30DPD_W1,WHATSAPP,v3,766,158,20.626631853785902
CMP0000031,30DPD_W1,VOICE,v3,777,160,20.592020592020592
CMP0000011,NPA_RECOVERY,WHATSAPP,v3,705,145,20.56737588652482
CMP0000008,NPA_RECOVERY,SMS,v2,744,153,20.56451612903226
