campaign_id,campaign_name,channel,strategy_version,call_volume,answered_calls,unique_accounts,accounts_with_successful_payment,successful_payment_amount,answer_rate_pct,payment_account_rate_pct,payment_per_call
CMP0000006,BOUNCE,MIXED,legacy,750,149,740,354,37686789.589999996,19.866666666666667,47.83783783783784,50249.05278666666
CMP0000036,30DPD_W1,SMS,v1,792,172,781,366,37448151.55,21.71717171717172,46.86299615877081,47283.01963383838
CMP0000116,DIGITAL_FOLLOWUP,VOICE,v1,816,162,804,386,36874603.9,19.852941176470587,48.00995024875622,45189.46556372549
CMP0000055,BOUNCE,MIXED,v3,756,148,750,340,36718583.36,19.576719576719576,45.33333333333333,48569.55470899471
CMP0000100,BOUNCE,WHATSAPP,v3,792,148,785,359,36547359.96,18.68686868686869,45.732484076433124,46145.65651515152
CMP0000112,60DPD_INTENT,MIXED,v3,784,171,776,339,36134241.83,21.81122448979592,43.68556701030928,46089.59417091837
CMP0000072,30DPD_W1,WHATSAPP,v2,790,154,777,359,36093921.4,19.49367088607595,46.2033462033462,45688.50810126582
CMP0000098,DIGITAL_FOLLOWUP,WHATSAPP,legacy,773,156,768,369,35952701.9,20.18111254851229,48.046875,46510.61047865459
CMP0000114,60DPD_INTENT,SMS,legacy,822,163,805,379,35890700.27,19.829683698296837,47.08074534161491,43662.65239659368
CMP0000019,NPA_RECOVERY,WHATSAPP,v1,763,149,748,352,35635736.99,19.528178243774576,47.05882352941176,46704.76669724771
CMP0000052,BOUNCE,SMS,v2,754,153,747,336,35518643.03,20.291777188328915,44.97991967871486,47106.95362068966
CMP0000086,DIGITAL_FOLLOWUP,SMS,v3,788,157,778,366,35103449.46,19.923857868020303,47.04370179948586,44547.52469543147
CMP0000092,NPA_RECOVERY,SMS,v3,807,156,796,353,35074753.89,19.33085501858736,44.346733668341706,43463.13988847584
CMP0000093,60DPD_INTENT,SMS,legacy,747,161,733,349,34945696.24,21.5528781793842,47.61255115961801,46781.3872021419
CMP0000040,DIGITAL_FOLLOWUP,FIELD,v1,771,139,765,357,34931637.09,18.028534370946822,46.666666666666664,45306.92229571985
CMP0000115,BOUNCE,FIELD,v2,770,168,751,342,34862979.02,21.818181818181817,45.539280958721704,45276.59612987014
CMP0000048,NPA_RECOVERY,WHATSAPP,v2,788,146,775,360,34832230.37,18.527918781725887,46.45161290322581,44203.33803299492
CMP0000104,30DPD_W1,FIELD,legacy,757,145,747,344,34720378.17,19.154557463672393,46.050870147255694,45865.75715984148
CMP0000085,60DPD_INTENT,MIXED,legacy,739,148,731,338,34702448.6,20.027063599458728,46.238030095759235,46958.65845737483
CMP0000105,BOUNCE,FIELD,v2,753,162,743,351,34672789.64,21.51394422310757,47.24091520861373,46046.2013811421
CMP0000070,60DPD_INTENT,WHATSAPP,v1,766,151,758,352,34627041.92,19.712793733681462,46.437994722955146,45205.01556135771
CMP0000003,30DPD_W1,MIXED,v1,732,164,719,340,34597435.39,22.404371584699454,47.28789986091794,47264.25599726776
CMP0000021,NPA_RECOVERY,FIELD,legacy,736,146,724,339,34501471.51,19.83695652173913,46.8232044198895,46876.999334239124
CMP0000034,DIGITAL_FOLLOWUP,VOICE,v3,768,147,754,351,34393318.73,19.140625,46.55172413793103,44782.967096354165
CMP0000060,30DPD_W1,SMS,v3,795,148,785,346,34370117.81,18.61635220125786,44.07643312101911,43232.85259119497
CMP0000083,BOUNCE,WHATSAPP,v2,783,161,772,345,34346922.39,20.561941251596423,44.689119170984455,43865.801264367816
CMP0000079,NPA_RECOVERY,MIXED,legacy,804,167,793,351,34341437.93,20.771144278606965,44.26229508196721,42713.2312562189
CMP0000084,BOUNCE,FIELD,legacy,743,132,739,351,34147207.73,17.765814266487215,47.496617050067655,45958.5568371467
CMP0000001,DIGITAL_FOLLOWUP,FIELD,legacy,733,146,723,345,34099255.32,19.918144611186904,47.71784232365145,46520.130040927696
CMP0000026,30DPD_W1,FIELD,legacy,739,139,731,329,34055054.83,18.80920162381597,45.00683994528043,46082.61817320703
CMP0000015,DIGITAL_FOLLOWUP,FIELD,v3,782,142,770,343,34021336.68,18.15856777493606,44.54545454545455,43505.54562659847
CMP0000071,30DPD_W1,MIXED,v3,715,144,707,329,33851947.77,20.13986013986014,46.53465346534654,47345.3814965035
CMP0000106,NPA_RECOVERY,SMS,v3,778,149,769,335,33787923.79,19.151670951156813,43.5630689206762,43429.207956298196
CMP0000013,30DPD_W1,VOICE,v2,758,136,746,345,33736818.79,17.941952506596305,46.24664879356568,44507.67650395778
CMP0000096,DIGITAL_FOLLOWUP,WHATSAPP,legacy,778,152,768,327,33718102.82,19.53727506426735,42.578125,43339.46377892031
CMP0000103,NPA_RECOVERY,WHATSAPP,legacy,797,134,789,344,33647860.46,16.813048933500628,43.59949302915083,42218.14361355082
CMP0000002,BOUNCE,MIXED,v2,755,144,746,337,33612764.47,19.072847682119207,45.17426273458445,44520.2178410596
CMP0000014,NPA_RECOVERY,SMS,v1,788,150,781,363,33510390.22,19.035532994923855,46.478873239436616,42525.87591370558
CMP0000099,BOUNCE,WHATSAPP,legacy,735,146,727,333,33505842.48,19.86394557823129,45.80467675378267,45586.18024489796
CMP0000049,60DPD_INTENT,VOICE,v1,773,132,763,337,33499094.45,17.076326002587322,44.167758846657925,43336.47406209573
CMP0000109,NPA_RECOVERY,MIXED,v1,742,146,738,341,33432438.35,19.67654986522911,46.205962059620596,45057.194541778976
CMP0000110,DIGITAL_FOLLOWUP,VOICE,v2,743,137,736,335,33387186.5,18.438761776581426,45.516304347826086,44935.64804845222
CMP0000045,30DPD_W1,VOICE,v2,756,157,745,337,33345994.11,20.767195767195766,45.234899328859065,44108.457817460316
CMP0000058,BOUNCE,VOICE,legacy,789,172,777,345,33342482.9,21.799746514575414,44.4015444015444,42259.167173637514
CMP0000075,30DPD_W1,WHATSAPP,v3,741,159,730,320,33336145.99,21.45748987854251,43.83561643835616,44988.051268556
CMP0000117,BOUNCE,VOICE,v3,753,139,744,332,33305360.14,18.459495351925632,44.623655913978496,44230.22594953519
CMP0000041,30DPD_W1,SMS,legacy,784,154,772,357,33285497.16,19.642857142857142,46.24352331606217,42455.991275510205
CMP0000094,60DPD_INTENT,WHATSAPP,v3,744,156,735,336,33278984.59,20.967741935483872,45.714285714285715,44729.81799731183
CMP0000080,NPA_RECOVERY,WHATSAPP,legacy,760,143,751,333,33207708.76,18.815789473684212,44.34087882822903,43694.353631578946
CMP0000042,BOUNCE,FIELD,v3,730,134,727,344,33196374.99,18.356164383561644,47.31774415405777,45474.48628767123
CMP0000038,NPA_RECOVERY,FIELD,v2,760,154,756,347,33131627.66,20.263157894736842,45.8994708994709,43594.24692105263
CMP0000097,NPA_RECOVERY,MIXED,v2,742,147,730,333,32990021.84,19.81132075471698,45.61643835616439,44460.94587601078
CMP0000057,30DPD_W1,MIXED,v3,755,164,743,319,32983452.88,21.721854304635762,42.934051144010766,43686.69255629139
CMP0000061,30DPD_W1,WHATSAPP,v3,766,158,753,328,32982141.38,20.626631853785902,43.559096945551126,43057.625822454305
CMP0000027,BOUNCE,VOICE,legacy,758,150,739,329,32900988.66,19.788918205804748,44.51962110960758,43404.99823218997
CMP0000118,30DPD_W1,FIELD,v3,732,149,722,319,32894553.97,20.3551912568306,44.18282548476454,44937.91525956284
CMP0000031,30DPD_W1,VOICE,v3,777,160,772,338,32878878.51,20.592020592020592,43.78238341968912,42315.15895752896
CMP0000120,NPA_RECOVERY,SMS,v3,701,144,689,329,32861097.19,20.542082738944366,47.750362844702465,46877.4567617689
CMP0000073,60DPD_INTENT,SMS,v2,727,144,712,327,32822109.86,19.80742778541953,45.92696629213483,45147.33130674002
