dataset,column,dtype,non_null,nulls,unique_values,top_values
account_status_history,status,str,60000,0,7,"{'PAID': 8650, 'CLOSED': 8614, 'DELINQUENT': 8612, 'NPA': 8612, 'WRITEOFF': 8583}"
account_status_history,changed_by,str,60000,0,101,"{'AGT0000047': 644, 'AGT0000088': 637, 'AGT0000035': 635, 'AGT0000001': 633, 'AGT0000012': 632}"
account_status_history,source,str,60000,0,5,"{'CORE': 12079, 'BATCH': 12073, 'CALL': 12028, 'FIELD': 11911, 'PAYMENT': 11909}"
accounts,loan_type,str,30000,0,5,"{'CREDIT_CARD': 6080, 'AUTO': 6079, 'PERSONAL': 5983, 'CONSUMER': 5930, 'BNPL': 5928}"
accounts,risk_segment,str,30000,0,4,"{'HIGH': 7552, 'MEDIUM': 7533, 'LOW': 7513, 'NPA': 7402}"
accounts,status,str,30000,0,4,"{'ACTIVE': 7539, 'CLOSED': 7496, 'PAID': 7486, 'WRITEOFF': 7479}"
accounts,timezone,str,30000,0,3,"{'UTC': 10096, 'Asia/Kolkata': 9981, 'Asia/Dubai': 9923}"
accounts,schema_version,str,30000,0,3,"{'v1': 10152, 'v2': 10026, 'v3': 9822}"
agent_sessions,channel,str,15000,0,4,"{'WHATSAPP': 3810, 'FIELD': 3796, 'VOICE': 3740, 'SMS': 3654}"
agent_sessions,timezone,str,15000,0,2,"{'Asia/Kolkata': 7506, 'UTC': 7494}"
agents,agent_name,str,30000,0,10,"{'Sneha Das': 3151, 'Amit Kumar': 3119, 'Priya Mehta': 3072, 'Neha Singh': 3003, 'Vikram Shah': 2986}"
agents,team,str,30000,0,5,"{'T1': 6095, 'T2': 6005, 'FIELD': 6002, 'DIGITAL': 5954, 'T3': 5944}"
agents,status,str,30000,0,3,"{'ACTIVE': 10083, 'INACTIVE': 10066, 'SUSPENDED': 9851}"
borrowers,city,str,30600,0,10,"{'Delhi': 3171, 'Hyderabad': 3119, 'Bhubaneswar': 3094, 'Pune': 3090, 'Bengaluru': 3074}"
borrowers,state,str,30600,0,9,"{'Maharashtra': 6092, 'Delhi': 3171, 'Telangana': 3119, 'Odisha': 3094, 'Karnataka': 3074}"
call_attempts,attempt_status,str,120000,0,5,"{'RINGING': 24087, 'NO_ANSWER': 24042, 'BUSY': 24037, 'CONNECTED': 24023, 'FAILED': 23811}"
call_dispositions,disposition_code,str,35000,0,9,"{'NO_CONTACT': 4010, 'WRONG_NUMBER': 3946, 'PROMISE_TO_PAY': 3926, 'PTP': 3904, 'PTP_BROKEN': 3900}"
call_dispositions,disposition_version,str,35000,0,3,"{'legacy': 11726, 'v2': 11654, 'v1': 11620}"
calls,direction,str,91350,0,2,"{'OUTBOUND': 84151, 'INBOUND': 7199}"
calls,call_status,str,91350,0,5,"{'NO_ANSWER': 18363, 'BUSY': 18330, 'FAILED': 18276, 'VOICEMAIL': 18235, 'ANSWERED': 18146}"
calls,timezone,str,91350,0,3,"{'Asia/Kolkata': 30485, 'Asia/Dubai': 30464, 'UTC': 30401}"
campaigns,campaign_name,str,120,0,5,"{'30DPD_W1': 28, 'NPA_RECOVERY': 28, 'BOUNCE': 25, 'DIGITAL_FOLLOWUP': 21, '60DPD_INTENT': 18}"
campaigns,channel,str,120,0,5,"{'WHATSAPP': 31, 'SMS': 28, 'MIXED': 23, 'VOICE': 20, 'FIELD': 18}"
campaigns,strategy_version,str,120,0,4,"{'legacy': 37, 'v3': 32, 'v2': 27, 'v1': 24}"
campaigns,target_definition,str,120,0,5,"{'DPD>=60': 31, 'HIGH_RISK': 25, 'PROMISE_BROKEN': 24, 'DPD>=30': 22, 'NPA': 18}"
complaints,complaint_type,str,8000,0,7,"{'AGENT_BEHAVIOUR': 1202, 'DISPUTE': 1155, 'PRIVACY': 1155, 'DND': 1152, 'HARASSMENT': 1126}"
complaints,severity,str,8000,0,4,"{'MEDIUM': 2047, 'HIGH': 1997, 'LOW': 1988, 'CRITICAL': 1968}"
complaints,status,str,8000,0,4,"{'OPEN': 2096, 'INVESTIGATING': 2005, 'CLOSED': 1964, 'RESOLVED': 1935}"
complaints,source,str,8000,0,5,"{'FIELD': 1647, 'EMAIL': 1607, 'WHATSAPP': 1589, 'SMS': 1579, 'CALL': 1578}"
daily_targeting,recommended_channel,str,45000,0,4,"{'FIELD': 11365, 'SMS': 11221, 'WHATSAPP': 11212, 'VOICE': 11202}"
daily_targeting,status,str,45000,0,4,"{'EXPIRED': 11371, 'CONTACTED': 11254, 'QUEUED': 11202, 'SKIPPED': 11173}"
field_visits,visit_type,str,25000,0,4,"{'FIRST_VISIT': 6275, 'FOLLOWUP': 6271, 'NOTICE': 6262, 'AFTER_HOURS': 6192}"
field_visits,outcome,str,25000,0,6,"{'WRONG_ADDRESS': 4221, 'CONTACTED': 4205, 'PTP': 4200, 'NOT_AVAILABLE': 4190, 'REFUSED': 4104}"
payments,payment_status,str,25500,0,4,"{'SUCCESS': 17880, 'FAILED': 3744, 'PENDING': 2592, 'REVERSED': 1284}"
payments,payment_method,str,25500,0,5,"{'CARD': 5227, 'NACH': 5158, 'NETBANKING': 5059, 'UPI': 5052, 'CASH': 5004}"
promises_to_pay,status,str,18000,0,4,"{'BROKEN': 4553, 'CANCELLED': 4543, 'KEPT': 4489, 'OPEN': 4415}"
promises_to_pay,source,str,18000,0,4,"{'CALL': 4571, 'FIELD': 4546, 'SMS': 4449, 'WHATSAPP': 4434}"
sms_events,event_type,str,45000,0,4,"{'SENT': 11391, 'FAILED': 11251, 'DELIVERED': 11219, 'CLICKED': 11139}"
