match_stratum,control_accounts,treatment_accounts,control_paying_accounts,treatment_paying_accounts,control_recovered_amount,treatment_recovered_amount,control_outstanding_amount,treatment_outstanding_amount,control_payment_rate_pct,treatment_payment_rate_pct,payment_rate_difference_pct_points,control_recovery_rate_pct,treatment_recovery_rate_pct,recovery_rate_difference_pct_points
0|HIGH|ACTIVE|AUTO,14.0,14.0,5.0,5.0,488154.10000000003,966063.56,3892670.84,3454541.14,35.714285714285715,35.714285714285715,0.0,12.540338499311698,27.965032716327702,15.424694217016004
0|HIGH|ACTIVE|BNPL,19.0,13.0,9.0,6.0,919809.16,513485.42,6390165.12,4738214.21,47.368421052631575,46.15384615384615,-1.214574898785422,14.39413759624415,10.837108607633,-3.5570289886111492
0|HIGH|ACTIVE|CONSUMER,22.0,14.0,13.0,7.0,1446190.07,839862.93,7644105.9799999995,5937198.98,59.09090909090909,50.0,-9.090909090909093,18.91902171141798,14.145777037777501,-4.7732446736404786
0|HIGH|ACTIVE|CREDIT_CARD,11.0,18.0,5.0,8.0,307087.65,645283.07,2826887.09,4868783.85,45.45454545454545,44.44444444444444,-1.0101010101010104,10.863102777833268,13.253475403308364,2.3903726254750968
0|HIGH|ACTIVE|PERSONAL,22.0,22.0,10.0,13.0,1316805.88,1127315.21,8882206.25,6725270.06,45.45454545454545,59.09090909090909,13.63636363636364,14.825211697825639,16.762378312581845,1.9371666147562063
0|HIGH|CLOSED|AUTO,21.0,13.0,6.0,8.0,773797.5,708290.87,8373619.59,5156245.96,28.57142857142857,61.53846153846154,32.96703296703297,9.24089626574498,13.736560968864255,4.495664703119276
0|HIGH|CLOSED|BNPL,25.0,22.0,10.0,11.0,1005899.95,817268.27,8769194.67,5999941.91,40.0,50.0,10.0,11.470836124111269,13.621269709926242,2.150433585814973
0|HIGH|CLOSED|CONSUMER,17.0,22.0,7.0,10.0,893439.2,823340.29,7124637.86,8127446.4799999995,41.17647058823529,45.45454545454545,4.278074866310163,12.540134917117035,10.130368646856965,-2.4097662702600697
0|HIGH|CLOSED|CREDIT_CARD,20.0,23.0,17.0,11.0,1595179.5,740770.1,8085430.36,8624575.19,85.0,47.82608695652174,-37.17391304347826,19.72906115043207,8.589061880507531,-11.13999926992454
0|HIGH|CLOSED|PERSONAL,18.0,21.0,7.0,8.0,791246.98,1014696.98,7278038.86,9731740.95,38.88888888888889,38.095238095238095,-0.7936507936507979,10.871705897981423,10.426674787310281,-0.44503111067114176
0|HIGH|PAID|AUTO,19.0,19.0,10.0,12.0,913666.22,1218783.06,6307083.85,6930005.67,52.63157894736842,63.1578947368421,10.526315789473685,14.486349662213543,17.587042753458526,3.100693091244983
0|HIGH|PAID|BNPL,24.0,14.0,14.0,7.0,1592033.46,367697.48,8321394.45,5330813.28,58.333333333333336,50.0,-8.333333333333336,19.131811015159844,6.897586928799726,-12.234224086360118
0|HIGH|PAID|CONSUMER,22.0,16.0,11.0,9.0,716354.75,937043.75,6618653.16,4918656.37,50.0,56.25,6.25,10.823270727182205,19.05080736510162,8.227536637919414
0|HIGH|PAID|CREDIT_CARD,27.0,12.0,16.0,4.0,1480175.73,636293.71,9406350.12,3731113.58,59.25925925925925,33.33333333333333,-25.925925925925924,15.735920002093225,17.053721264631132,1.3178012625379072
0|HIGH|PAID|PERSONAL,9.0,11.0,4.0,5.0,358826.72,463119.66000000003,2973511.76,3452932.3000000003,44.44444444444444,45.45454545454545,1.0101010101010104,12.067439074126952,13.412358533643998,1.3449194595170457
0|HIGH|WRITEOFF|AUTO,10.0,18.0,4.0,5.0,539886.0,729380.7,3775526.22,7304581.2,40.0,27.77777777777778,-12.222222222222221,14.299622583471292,9.985250078402853,-4.314372505068439
0|HIGH|WRITEOFF|BNPL,11.0,16.0,4.0,5.0,437240.08,479909.98,2928656.18,6298598.12,36.36363636363637,31.25,-5.113636363636367,14.929717014443122,7.619314184788789,-7.3104028296543335
0|HIGH|WRITEOFF|CONSUMER,20.0,12.0,9.0,6.0,1066573.94,476461.56,7123852.13,4487131.46,45.0,50.0,5.0,14.971870843703208,10.618399845142937,-4.353470998560271
0|HIGH|WRITEOFF|CREDIT_CARD,14.0,14.0,7.0,3.0,872837.35,217968.36,5165704.93,3457784.81,50.0,21.428571428571427,-28.571428571428573,16.89677133765362,6.303699390709047,-10.593071946944574
0|HIGH|WRITEOFF|PERSONAL,18.0,21.0,8.0,8.0,684862.88,1005829.5900000001,8490959.18,7051533.21,44.44444444444444,38.095238095238095,-6.349206349206348,8.065789335239744,14.263984300231355,6.198194964991611
0|LOW|ACTIVE|AUTO,22.0,10.0,11.0,6.0,1034771.4299999999,494459.82999999996,7120661.0,2931130.64,50.0,60.0,10.0,14.531957496642518,16.869252542083895,2.337295045441378
0|LOW|ACTIVE|BNPL,17.0,8.0,7.0,4.0,648128.54,305531.22,6446706.76,3520715.85,41.17647058823529,50.0,8.82352941176471,10.053637680892438,8.678099370047144,-1.3755383108452932
0|LOW|ACTIVE|CONSUMER,20.0,15.0,12.0,6.0,1424720.92,318416.16000000003,7793305.81,4765453.7,60.0,40.0,-20.0,18.281342407632277,6.681759598251894,-11.599582809380383
0|LOW|ACTIVE|CREDIT_CARD,22.0,19.0,14.0,8.0,1161593.98,500024.92,8126384.17,6626581.7,63.63636363636363,42.10526315789473,-21.5311004784689,14.29410615717913,7.5457444371356655,-6.748361720043464
0|LOW|ACTIVE|PERSONAL,21.0,20.0,12.0,9.0,1144690.55,1082851.88,9119087.48,6763541.23,57.14285714285714,45.0,-12.142857142857139,12.552687453767032,16.010132017780272,3.4574445640132403
0|LOW|CLOSED|AUTO,19.0,13.0,10.0,6.0,894625.16,609158.14,6415969.96,4684966.28,52.63157894736842,46.15384615384615,-6.477732793522264,13.943724262699012,13.002401801705176,-0.9413224609938364
0|LOW|CLOSED|BNPL,20.0,16.0,7.0,7.0,575038.56,730868.46,8279115.04,5580188.72,35.0,43.75,8.75,6.945652490897143,13.097558105525863,6.15190561462872
0|LOW|CLOSED|CONSUMER,15.0,10.0,4.0,6.0,446967.12,509871.09,6346861.32,3862432.2,26.666666666666668,60.0,33.33333333333333,7.042333170121952,13.200777737923788,6.158444567801836
0|LOW|CLOSED|CREDIT_CARD,23.0,13.0,13.0,7.0,1057181.0,922878.6900000001,8070211.86,5200187.33,56.52173913043478,53.84615384615385,-2.6755852842809347,13.09979240123691,17.747027778708887,4.6472353774719775
0|LOW|CLOSED|PERSONAL,18.0,11.0,6.0,6.0,505063.37,571192.32,4731922.45,3819530.56,33.33333333333333,54.54545454545454,21.21212121212121,10.673534389812326,14.954516295321904,4.280981905509577
0|LOW|PAID|AUTO,20.0,18.0,5.0,6.0,485275.52,496450.98,7398091.33,6033628.67,25.0,33.33333333333333,8.333333333333329,6.559469170543479,8.228066511093397,1.6685973405499182
0|LOW|PAID|BNPL,21.0,17.0,11.0,7.0,931406.26,594580.38,5595745.22,5438030.47,52.38095238095239,41.17647058823529,-11.204481792717097,16.644901141514087,10.933744915188019,-5.711156226326068
0|LOW|PAID|CONSUMER,19.0,16.0,11.0,7.0,1174611.52,704678.75,6688766.85,5033588.79,57.89473684210527,43.75,-14.144736842105267,17.560957742158408,13.999529548380133,-3.5614281937782746
0|LOW|PAID|CREDIT_CARD,13.0,14.0,8.0,7.0,941096.27,988075.56,3958062.2,4764267.59,61.53846153846154,50.0,-11.53846153846154,23.77669229149557,20.739296047810786,-3.0373962436847854
0|LOW|PAID|PERSONAL,12.0,10.0,4.0,3.0,393907.93,355779.72,4462758.87,3466649.18,33.33333333333333,30.0,-3.3333333333333286,8.826556430103516,10.262928307040287,1.4363718769367715
0|LOW|WRITEOFF|AUTO,16.0,9.0,6.0,3.0,512954.83,180091.53999999998,5909285.0,3192363.54,37.5,33.33333333333333,-4.166666666666671,8.68048892547914,5.641323043051669,-3.039165882427472
0|LOW|WRITEOFF|BNPL,22.0,12.0,12.0,4.0,902092.0800000001,487851.05999999994,6936293.54,4432331.11,54.54545454545454,33.33333333333333,-21.21212121212121,13.005390772432623,11.006647470432323,-1.9987433020002996
0|LOW|WRITEOFF|CONSUMER,20.0,14.0,10.0,7.0,1234519.66,562370.49,7658442.32,5440997.72,50.0,50.0,0.0,16.119722633100668,10.335797200076755,-5.783925433023914
0|LOW|WRITEOFF|CREDIT_CARD,11.0,19.0,6.0,6.0,543956.6499999999,660766.04,4103526.96,6762083.21,54.54545454545454,31.57894736842105,-22.96650717703349,13.255832246317201,9.771634265352379,-3.4841979809648222
