dataset,rows,columns,file_size_bytes
account_status_history,60000,8,6040640
accounts,30000,11,2898371
agent_sessions,15000,7,1286742
agents,30000,8,2872227
borrowers,30600,8,3431020
call_attempts,120000,9,12096304
call_dispositions,35000,8,3419749
calls,91350,11,10700607
campaigns,120,7,9958
complaints,8000,9,878793
daily_targeting,45000,7,2727033
data_dictionary,143,3,4582
field_visits,25000,10,3534883
payments,25500,9,2674250
promises_to_pay,18000,9,1900172
sms_events,45000,8,4590111
vendor_telephony,15,6,798
whatsapp_events,60600,8,6517923
