disposition_version,disposition_code,attempt_status,row_count
legacy,CALLBACK,BUSY,104
legacy,CALLBACK,"BUSY, CONNECTED",36
legacy,CALLBACK,"BUSY, CONNECTED, FAILED",16
legacy,CALLBACK,"BUSY, CONNECTED, FAILED, NO_ANSWER",5
legacy,CALLBACK,"BUSY, CONNECTED, FAILED, NO_ANSWER, RINGING",1
legacy,CALLBACK,"BUSY, CONNECTED, FAILED, RINGING",7
legacy,CALLBACK,"BUSY, CONNECTED, NO_ANSWER",8
legacy,CALLBACK,"BUSY, CONNECTED, NO_ANSWER, RINGING",3
legacy,CALLBACK,"BUSY, CONNECTED, RINGING",17
legacy,CALLBACK,"BUSY, FAILED",32
legacy,CALLBACK,"BUSY, FAILED, NO_ANSWER",14
legacy,CALLBACK,"BUSY, FAILED, NO_ANSWER, RINGING",2
legacy,CALLBACK,"BUSY, FAILED, RINGING",5
legacy,CALLBACK,"BUSY, NO_ANSWER",28
legacy,CALLBACK,"BUSY, NO_ANSWER, RINGING",4
legacy,CALLBACK,"BUSY, RINGING",41
legacy,CALLBACK,CONNECTED,94
legacy,CALLBACK,"CONNECTED, FAILED",28
legacy,CALLBACK,"CONNECTED, FAILED, NO_ANSWER",9
legacy,CALLBACK,"CONNECTED, FAILED, NO_ANSWER, RINGING",3
legacy,CALLBACK,"CONNECTED, FAILED, RINGING",10
legacy,CALLBACK,"CONNECTED, NO_ANSWER",31
legacy,CALLBACK,"CONNECTED, NO_ANSWER, RINGING",12
legacy,CALLBACK,"CONNECTED, RINGING",27
legacy,CALLBACK,FAILED,88
legacy,CALLBACK,"FAILED, NO_ANSWER",34
legacy,CALLBACK,"FAILED, NO_ANSWER, RINGING",13
legacy,CALLBACK,"FAILED, RINGING",34
legacy,CALLBACK,NO_ANSWER,86
legacy,CALLBACK,"NO_ANSWER, RINGING",36
legacy,CALLBACK,RINGING,128
legacy,CALLBACK,,357
legacy,DISPUTE,BUSY,108
legacy,DISPUTE,"BUSY, CONNECTED",37
legacy,DISPUTE,"BUSY, CONNECTED, FAILED",9
legacy,DISPUTE,"BUSY, CONNECTED, FAILED, NO_ANSWER, RINGING",2
legacy,DISPUTE,"BUSY, CONNECTED, FAILED, RINGING",4
legacy,DISPUTE,"BUSY, CONNECTED, NO_ANSWER",8
legacy,DISPUTE,"BUSY, CONNECTED, NO_ANSWER, RINGING",4
legacy,DISPUTE,"BUSY, CONNECTED, RINGING",9
legacy,DISPUTE,"BUSY, FAILED",27
legacy,DISPUTE,"BUSY, FAILED, NO_ANSWER",9
legacy,DISPUTE,"BUSY, FAILED, NO_ANSWER, RINGING",3
legacy,DISPUTE,"BUSY, FAILED, RINGING",15
legacy,DISPUTE,"BUSY, NO_ANSWER",31
legacy,DISPUTE,"BUSY, NO_ANSWER, RINGING",8
legacy,DISPUTE,"BUSY, RINGING",35
legacy,DISPUTE,CONNECTED,95
legacy,DISPUTE,"CONNECTED, FAILED",35
legacy,DISPUTE,"CONNECTED, FAILED, NO_ANSWER",6
legacy,DISPUTE,"CONNECTED, FAILED, NO_ANSWER, RINGING",2
legacy,DISPUTE,"CONNECTED, FAILED, RINGING",16
legacy,DISPUTE,"CONNECTED, NO_ANSWER",28
legacy,DISPUTE,"CONNECTED, NO_ANSWER, RINGING",6
legacy,DISPUTE,"CONNECTED, RINGING",23
legacy,DISPUTE,FAILED,103
legacy,DISPUTE,"FAILED, NO_ANSWER",32
legacy,DISPUTE,"FAILED, NO_ANSWER, RINGING",10
legacy,DISPUTE,"FAILED, RINGING",32
legacy,DISPUTE,NO_ANSWER,101
