disposition_version,disposition_code,call_status,row_count
legacy,CALLBACK,BUSY,288
legacy,CALLBACK,ANSWERED,268
legacy,CALLBACK,VOICEMAIL,261
legacy,CALLBACK,NO_ANSWER,259
legacy,CALLBACK,FAILED,258
legacy,DISPUTE,ANSWERED,271
legacy,DISPUTE,BUSY,268
legacy,DISPUTE,FAILED,266
legacy,DISPUTE,NO_ANSWER,265
legacy,DISPUTE,VOICEMAIL,243
legacy,NO_CONTACT,NO_ANSWER,301
legacy,NO_CONTACT,FAILED,278
legacy,NO_CONTACT,ANSWERED,276
legacy,NO_CONTACT,BUSY,275
legacy,NO_CONTACT,VOICEMAIL,256
legacy,PAID,NO_ANSWER,266
legacy,PAID,BUSY,265
legacy,PAID,ANSWERED,260
legacy,PAID,VOICEMAIL,257
legacy,PAID,FAILED,229
legacy,PROMISE_TO_PAY,VOICEMAIL,291
legacy,PROMISE_TO_PAY,NO_ANSWER,275
legacy,PROMISE_TO_PAY,FAILED,271
legacy,PROMISE_TO_PAY,BUSY,260
legacy,PROMISE_TO_PAY,ANSWERED,254
legacy,PTP,FAILED,282
legacy,PTP,NO_ANSWER,267
legacy,PTP,ANSWERED,264
legacy,PTP,BUSY,258
legacy,PTP,VOICEMAIL,251
legacy,PTP_BROKEN,ANSWERED,280
legacy,PTP_BROKEN,NO_ANSWER,268
legacy,PTP_BROKEN,VOICEMAIL,260
legacy,PTP_BROKEN,FAILED,247
legacy,PTP_BROKEN,BUSY,235
legacy,REFUSED,FAILED,271
legacy,REFUSED,BUSY,251
legacy,REFUSED,VOICEMAIL,251
legacy,REFUSED,NO_ANSWER,246
legacy,REFUSED,ANSWERED,237
legacy,WRONG_NUMBER,FAILED,306
legacy,WRONG_NUMBER,BUSY,276
legacy,WRONG_NUMBER,VOICEMAIL,276
legacy,WRONG_NUMBER,ANSWERED,261
legacy,WRONG_NUMBER,NO_ANSWER,257
v1,CALLBACK,BUSY,274
v1,CALLBACK,ANSWERED,269
v1,CALLBACK,FAILED,263
v1,CALLBACK,NO_ANSWER,263
v1,CALLBACK,VOICEMAIL,237
v1,DISPUTE,ANSWERED,271
v1,DISPUTE,NO_ANSWER,262
v1,DISPUTE,VOICEMAIL,255
v1,DISPUTE,FAILED,250
v1,DISPUTE,BUSY,232
v1,NO_CONTACT,FAILED,292
v1,NO_CONTACT,NO_ANSWER,277
v1,NO_CONTACT,BUSY,273
v1,NO_CONTACT,ANSWERED,270
v1,NO_CONTACT,VOICEMAIL,249
v1,PAID,ANSWERED,263
v1,PAID,NO_ANSWER,259
v1,PAID,VOICEMAIL,254
v1,PAID,FAILED,246
v1,PAID,BUSY,240
v1,PROMISE_TO_PAY,VOICEMAIL,283
v1,PROMISE_TO_PAY,BUSY,281
v1,PROMISE_TO_PAY,ANSWERED,261
v1,PROMISE_TO_PAY,NO_ANSWER,257
v1,PROMISE_TO_PAY,FAILED,247
v1,PTP,NO_ANSWER,276
v1,PTP,BUSY,269
v1,PTP,VOICEMAIL,269
v1,PTP,ANSWERED,253
v1,PTP,FAILED,229
v1,PTP_BROKEN,VOICEMAIL,297
v1,PTP_BROKEN,NO_ANSWER,268
v1,PTP_BROKEN,ANSWERED,260
v1,PTP_BROKEN,BUSY,255
v1,PTP_BROKEN,FAILED,253
v1,REFUSED,VOICEMAIL,282
v1,REFUSED,ANSWERED,279
v1,REFUSED,NO_ANSWER,260
v1,REFUSED,FAILED,253
v1,REFUSED,BUSY,244
v1,WRONG_NUMBER,NO_ANSWER,283
v1,WRONG_NUMBER,ANSWERED,267
v1,WRONG_NUMBER,FAILED,263
v1,WRONG_NUMBER,BUSY,250
v1,WRONG_NUMBER,VOICEMAIL,241
v2,CALLBACK,BUSY,282
v2,CALLBACK,FAILED,265
v2,CALLBACK,VOICEMAIL,253
v2,CALLBACK,NO_ANSWER,250
v2,CALLBACK,ANSWERED,237
v2,DISPUTE,ANSWERED,277
v2,DISPUTE,VOICEMAIL,275
v2,DISPUTE,FAILED,265
v2,DISPUTE,NO_ANSWER,256
v2,DISPUTE,BUSY,222
v2,NO_CONTACT,NO_ANSWER,296
v2,NO_CONTACT,ANSWERED,273
v2,NO_CONTACT,BUSY,266
v2,NO_CONTACT,VOICEMAIL,249
v2,NO_CONTACT,FAILED,241
v2,PAID,FAILED,277
v2,PAID,VOICEMAIL,271
v2,PAID,ANSWERED,267
v2,PAID,BUSY,261
v2,PAID,NO_ANSWER,258
v2,PROMISE_TO_PAY,FAILED,273
v2,PROMISE_TO_PAY,NO_ANSWER,266
v2,PROMISE_TO_PAY,VOICEMAIL,262
v2,PROMISE_TO_PAY,ANSWERED,258
v2,PROMISE_TO_PAY,BUSY,247
v2,PTP,FAILED,290
v2,PTP,ANSWERED,280
v2,PTP,BUSY,268
v2,PTP,VOICEMAIL,262
v2,PTP,NO_ANSWER,238
v2,PTP_BROKEN,ANSWERED,294
v2,PTP_BROKEN,FAILED,271
v2,PTP_BROKEN,NO_ANSWER,269
v2,PTP_BROKEN,VOICEMAIL,257
v2,PTP_BROKEN,BUSY,229
v2,REFUSED,VOICEMAIL,279
v2,REFUSED,BUSY,258
v2,REFUSED,NO_ANSWER,253
v2,REFUSED,FAILED,245
v2,REFUSED,ANSWERED,242
v2,WRONG_NUMBER,FAILED,279
v2,WRONG_NUMBER,BUSY,275
v2,WRONG_NUMBER,NO_ANSWER,264
v2,WRONG_NUMBER,ANSWERED,255
v2,WRONG_NUMBER,VOICEMAIL,255
