disposition_version,disposition_code,row_count
legacy,CALLBACK,1313
legacy,DISPUTE,1298
legacy,NO_CONTACT,1370
legacy,PAID,1251
legacy,PROMISE_TO_PAY,1332
legacy,PTP,1296
legacy,PTP_BROKEN,1274
legacy,REFUSED,1236
legacy,WRONG_NUMBER,1356
v1,CALLBACK,1289
v1,DISPUTE,1254
v1,NO_CONTACT,1335
v1,PAID,1248
v1,PROMISE_TO_PAY,1309
v1,PTP,1285
v1,PTP_BROKEN,1313
v1,REFUSED,1301
v1,WRONG_NUMBER,1286
v2,CALLBACK,1270
v2,DISPUTE,1274
v2,NO_CONTACT,1305
v2,PAID,1319
v2,PROMISE_TO_PAY,1285
v2,PTP,1323
v2,PTP_BROKEN,1313
v2,REFUSED,1261
v2,WRONG_NUMBER,1304
