risk_segment,accounts,outstanding_amount,recovered_amount,successful_payments,paying_accounts,recovery_rate_pct,payment_account_rate_pct,driver,dpd_band,status,loan_type
HIGH,7552,2646182591.51,331598234.29,4364,3300,12.531192494195157,43.69703389830508,risk_segment,,,
LOW,7513,2633311095.86,330857833.09,4467,3381,12.564327610595008,45.00199653933182,risk_segment,,,
MEDIUM,7533,2628179457.23,330510083.85,4422,3335,12.575628461777299,44.27187043674499,risk_segment,,,
NPA,7402,2581362198.4,322617813.41,4281,3268,12.497967685819816,44.15022966765739,risk_segment,,,
,2685,948218629.01,117461931.08,1587,1220,12.387642204692566,45.43761638733706,dpd_band,0,,
,10880,3834100517.71,471539790.7,6307,4719,12.298576641950884,43.373161764705884,dpd_band,1-30,,
,5514,1914490301.17,252777083.08,3352,2524,13.203361903976251,45.77439245556765,dpd_band,31-60,,
,5468,1895868396.28,238735656.37,3164,2436,12.59241711283536,44.55010972933431,dpd_band,61-90,,
,5453,1896357498.83,235069503.41,3124,2385,12.395843270851165,43.737392261140656,dpd_band,91-180,,
,7539,2637396836.2,332943258.28,4404,3315,12.623934847806579,43.971348985276556,status,,ACTIVE,
,7496,2636143246.96,325683388.16,4381,3325,12.354540616697445,44.356990394877265,status,,CLOSED,
,7486,2617539537.68,328724666.6,4379,3297,12.558536819327593,44.04221212930804,status,,PAID,
,7479,2597955722.16,328232651.6,4370,3347,12.634266581229486,44.75197218879529,status,,WRITEOFF,
,6079,2135300840.99,267933202.69,3559,2700,12.547796429742275,44.415199868399405,loan_type,,,AUTO
,5928,2058914629.71,255440002.99,3415,2580,12.40653688618352,43.522267206477736,loan_type,,,BNPL
,5930,2073112691.96,266976651.34,3566,2685,12.878057829436665,45.27824620573356,loan_type,,,CONSUMER
,6080,2126676940.25,268643213.62,3543,2690,12.632065008821689,44.243421052631575,loan_type,,,CREDIT_CARD
,5983,2095030240.09,256590894.0,3451,2629,12.2475985830628,43.94116663880997,loan_type,,,PERSONAL
