hour,calls,unique_accounts,answered_calls,answer_rate_pct
0,3633,3439,738,20.31379025598679
1,3747,3502,768,20.496397117694155
2,3884,3652,723,18.61483007209063
3,3777,3549,755,19.989409584326186
4,3700,3471,747,20.18918918918919
5,3800,3554,729,19.18421052631579
6,3819,3602,755,19.76957318669809
7,3797,3560,748,19.699762970766393
8,3704,3469,699,18.871490280777536
9,3702,3492,767,20.71853052404106
10,3795,3550,744,19.604743083003953
11,3851,3597,708,18.384835107764218
12,3680,3450,739,20.081521739130434
13,3813,3572,760,19.931812221348018
14,3702,3497,765,20.6645056726094
15,3645,3416,714,19.588477366255145
16,3843,3583,759,19.750195160031225
17,3637,3428,751,20.648886444872147
18,3788,3558,772,20.380147835269273
19,3778,3525,731,19.34886183165696
20,3684,3448,736,19.97828447339848
21,3717,3494,774,20.823244552058114
22,3685,3458,718,19.48439620081411
23,3898,3646,796,20.420728578758336
