campaign_id,campaign_name,channel,strategy_version,calls,unique_accounts,answered_calls,answer_rate_pct
CMP0000001,DIGITAL_FOLLOWUP,FIELD,legacy,733,723,146,19.918144611186904
CMP0000002,BOUNCE,MIXED,v2,755,746,144,19.072847682119207
CMP0000003,30DPD_W1,MIXED,v1,732,719,164,22.404371584699454
CMP0000004,BOUNCE,VOICE,legacy,738,727,137,18.56368563685637
CMP0000005,60DPD_INTENT,WHATSAPP,legacy,768,759,156,20.3125
CMP0000006,BOUNCE,MIXED,legacy,750,740,149,19.866666666666667
CMP0000007,DIGITAL_FOLLOWUP,MIXED,v2,719,707,145,20.166898470097358
CMP0000008,NPA_RECOVERY,SMS,v2,744,731,153,20.56451612903226
CMP0000009,60DPD_INTENT,WHATSAPP,v1,735,714,158,21.496598639455783
CMP0000010,30DPD_W1,FIELD,v1,727,720,164,22.558459422283356
CMP0000011,NPA_RECOVERY,WHATSAPP,v3,705,695,145,20.56737588652482
CMP0000012,NPA_RECOVERY,WHATSAPP,v1,740,734,136,18.37837837837838
CMP0000013,30DPD_W1,VOICE,v2,758,746,136,17.941952506596305
CMP0000014,NPA_RECOVERY,SMS,v1,788,781,150,19.035532994923855
CMP0000015,DIGITAL_FOLLOWUP,FIELD,v3,782,770,142,18.15856777493606
CMP0000016,NPA_RECOVERY,MIXED,v1,747,736,149,19.946452476572958
CMP0000017,NPA_RECOVERY,MIXED,v3,700,693,132,18.857142857142858
CMP0000018,60DPD_INTENT,SMS,legacy,738,722,141,19.10569105691057
CMP0000019,NPA_RECOVERY,WHATSAPP,v1,763,748,149,19.528178243774576
CMP0000020,NPA_RECOVERY,WHATSAPP,v3,727,720,162,22.283356258596974
CMP0000021,NPA_RECOVERY,FIELD,legacy,736,724,146,19.83695652173913
CMP0000022,60DPD_INTENT,VOICE,v3,760,746,135,17.763157894736842
CMP0000023,BOUNCE,VOICE,v2,713,703,125,17.53155680224404
CMP0000024,NPA_RECOVERY,SMS,legacy,747,734,150,20.080321285140563
CMP0000025,30DPD_W1,FIELD,legacy,724,713,139,19.19889502762431
CMP0000026,30DPD_W1,FIELD,legacy,739,731,139,18.80920162381597
CMP0000027,BOUNCE,VOICE,legacy,758,739,150,19.788918205804748
CMP0000028,30DPD_W1,SMS,legacy,764,757,145,18.979057591623036
CMP0000029,60DPD_INTENT,MIXED,v1,752,743,137,18.21808510638298
CMP0000030,30DPD_W1,SMS,v2,759,755,154,20.28985507246377
CMP0000031,30DPD_W1,VOICE,v3,777,772,160,20.592020592020592
CMP0000032,NPA_RECOVERY,MIXED,v2,713,702,157,22.019635343618514
CMP0000033,DIGITAL_FOLLOWUP,WHATSAPP,legacy,763,751,136,17.82437745740498
CMP0000034,DIGITAL_FOLLOWUP,VOICE,v3,768,754,147,19.140625
CMP0000035,30DPD_W1,MIXED,legacy,782,776,159,20.33248081841432
CMP0000036,30DPD_W1,SMS,v1,792,781,172,21.71717171717172
CMP0000037,BOUNCE,SMS,v2,719,716,139,19.33240611961057
CMP0000038,NPA_RECOVERY,FIELD,v2,760,756,154,20.263157894736842
CMP0000039,DIGITAL_FOLLOWUP,SMS,v3,732,722,140,19.12568306010929
CMP0000040,DIGITAL_FOLLOWUP,FIELD,v1,771,765,139,18.028534370946822
CMP0000041,30DPD_W1,SMS,legacy,784,772,154,19.642857142857142
CMP0000042,BOUNCE,FIELD,v3,730,727,134,18.356164383561644
CMP0000043,NPA_RECOVERY,WHATSAPP,legacy,724,715,158,21.823204419889503
CMP0000044,NPA_RECOVERY,SMS,v1,738,727,148,20.05420054200542
CMP0000045,30DPD_W1,VOICE,v2,756,745,157,20.767195767195766
CMP0000046,BOUNCE,WHATSAPP,v3,780,772,156,20.0
CMP0000047,BOUNCE,WHATSAPP,v2,773,756,149,19.27554980595084
CMP0000048,NPA_RECOVERY,WHATSAPP,v2,788,775,146,18.527918781725887
