vendor_id,calls,unique_accounts,unique_agents,answered_calls,answer_rate_pct
VND0000001,6031,5430,997,1169,19.383186867849446
VND0000002,5941,5359,999,1170,19.693654266958426
VND0000003,5966,5432,999,1188,19.912839423399262
VND0000004,5930,5372,997,1157,19.510961214165263
VND0000005,6055,5499,999,1181,19.504541701073492
VND0000006,5903,5328,996,1230,20.83686261223107
VND0000007,6074,5480,996,1179,19.410602568324002
VND0000008,5917,5380,992,1168,19.739732972790268
VND0000009,5976,5385,994,1156,19.34404283801874
VND0000010,6167,5581,995,1251,20.28538997892006
VND0000011,6078,5508,996,1222,20.10529779532741
VND0000012,6015,5429,991,1167,19.40149625935162
VND0000013,5909,5339,996,1188,20.104924691149094
VND0000014,6046,5457,997,1275,21.08832285808799
VND0000015,6071,5480,997,1195,19.683742381815186
