child_table,child_column,parent_table,parent_column,child_non_null_values,orphan_values,orphan_pct
accounts,borrower_id,borrowers,borrower_id,29545,2458,8.32
agent_sessions,agent_id,agents,agent_id,15000,0,0.0
daily_targeting,account_id,accounts,account_id,45000,0,0.0
daily_targeting,campaign_id,campaigns,campaign_id,45000,0,0.0
calls,account_id,accounts,account_id,91350,0,0.0
calls,borrower_id,borrowers,borrower_id,91350,7451,8.16
calls,agent_id,agents,agent_id,89523,0,0.0
calls,campaign_id,campaigns,campaign_id,91350,0,0.0
call_attempts,account_id,accounts,account_id,120000,0,0.0
call_attempts,borrower_id,borrowers,borrower_id,120000,9778,8.15
call_attempts,call_id,calls,call_id,120000,0,0.0
call_attempts,agent_id,agents,agent_id,120000,0,0.0
call_dispositions,account_id,accounts,account_id,35000,0,0.0
call_dispositions,borrower_id,borrowers,borrower_id,35000,2737,7.82
call_dispositions,call_id,calls,call_id,35000,0,0.0
call_dispositions,agent_id,agents,agent_id,35000,0,0.0
whatsapp_events,account_id,accounts,account_id,60600,0,0.0
whatsapp_events,borrower_id,borrowers,borrower_id,60600,4925,8.13
sms_events,account_id,accounts,account_id,45000,0,0.0
sms_events,borrower_id,borrowers,borrower_id,45000,3781,8.4
field_visits,account_id,accounts,account_id,25000,0,0.0
field_visits,borrower_id,borrowers,borrower_id,25000,2095,8.38
field_visits,agent_id,agents,agent_id,25000,0,0.0
promises_to_pay,account_id,accounts,account_id,18000,0,0.0
promises_to_pay,borrower_id,borrowers,borrower_id,18000,1444,8.02
promises_to_pay,agent_id,agents,agent_id,18000,0,0.0
payments,account_id,accounts,account_id,25500,0,0.0
payments,borrower_id,borrowers,borrower_id,25500,2078,8.15
complaints,account_id,accounts,account_id,8000,0,0.0
complaints,borrower_id,borrowers,borrower_id,8000,693,8.66
account_status_history,account_id,accounts,account_id,60000,0,0.0
account_status_history,borrower_id,borrowers,borrower_id,60000,5013,8.36
agents,vendor_id,vendor_telephony,vendor_id,30000,0,0.0
