table,rows,columns,source,golden
accounts.csv,30000,13,data\cleaned\accounts.csv,data\golden\accounts.csv
account_status_history.csv,60000,10,data\cleaned\account_status_history.csv,data\golden\account_status_history.csv
agents.csv,30000,8,data\cleaned\agents.csv,data\golden\agents.csv
agent_sessions.csv,15000,7,data\cleaned\agent_sessions.csv,data\golden\agent_sessions.csv
borrowers.csv,30000,8,data\cleaned\borrowers.csv,data\golden\borrowers.csv
calls.csv,90079,16,data\cleaned\calls.csv,data\golden\calls.csv
call_attempts.csv,120000,11,data\cleaned\call_attempts.csv,data\golden\call_attempts.csv
call_dispositions.csv,35000,9,data\cleaned\call_dispositions.csv,data\golden\call_dispositions.csv
campaigns.csv,120,7,data\cleaned\campaigns.csv,data\golden\campaigns.csv
complaints.csv,8000,10,data\cleaned\complaints.csv,data\golden\complaints.csv
daily_targeting.csv,45000,7,data\cleaned\daily_targeting.csv,data\golden\daily_targeting.csv
field_visits.csv,25000,11,data\cleaned\field_visits.csv,data\golden\field_visits.csv
payments.csv,25000,11,data\cleaned\payments.csv,data\golden\payments.csv
promises_to_pay.csv,18000,10,data\cleaned\promises_to_pay.csv,data\golden\promises_to_pay.csv
sms_events.csv,45000,9,data\cleaned\sms_events.csv,data\golden\sms_events.csv
vendor_telephony.csv,15,6,data\cleaned\vendor_telephony.csv,data\golden\vendor_telephony.csv
whatsapp_events.csv,60000,9,data\cleaned\whatsapp_events.csv,data\golden\whatsapp_events.csv
