dataset,column,dtype,rows,non_null,nulls,unique_values
account_status_history,history_id,str,60000,60000,0,60000
account_status_history,account_id,str,60000,60000,0,25999
account_status_history,borrower_id,str,60000,60000,0,11916
accounts,account_id,str,30000,30000,0,30000
accounts,borrower_id,str,30000,29545,455,10943
agent_sessions,session_id,str,15000,15000,0,15000
agent_sessions,agent_id,str,15000,15000,0,1000
agent_sessions,device_id,str,15000,15000,0,1500
agents,agent_id,str,30000,30000,0,1000
agents,employee_code,str,30000,30000,0,1099
agents,vendor_id,str,30000,30000,0,15
borrowers,borrower_id,str,30600,30600,0,11015
call_attempts,attempt_id,str,120000,120000,0,120000
call_attempts,account_id,str,120000,120000,0,29451
call_attempts,borrower_id,str,120000,120000,0,12000
call_attempts,call_id,str,120000,120000,0,66244
call_attempts,agent_id,str,120000,120000,0,1000
call_attempts,vendor_id,str,120000,117600,2400,15
call_dispositions,disposition_id,str,35000,35000,0,35000
call_dispositions,account_id,str,35000,35000,0,20603
call_dispositions,borrower_id,str,35000,35000,0,11359
call_dispositions,call_id,str,35000,35000,0,28971
call_dispositions,agent_id,str,35000,35000,0,1000
call_dispositions,disposition_code,str,35000,35000,0,9
calls,call_id,str,91350,91350,0,90000
calls,account_id,str,91350,91350,0,28408
calls,borrower_id,str,91350,91350,0,11992
calls,agent_id,str,91350,89523,1827,1000
calls,campaign_id,str,91350,91350,0,120
calls,vendor_id,str,91350,91350,0,15
campaigns,campaign_id,str,120,120,0,120
complaints,complaint_id,str,8000,8000,0,8000
complaints,account_id,str,8000,8000,0,7034
complaints,borrower_id,str,8000,8000,0,5839
daily_targeting,target_id,str,45000,45000,0,45000
daily_targeting,account_id,str,45000,45000,0,23344
daily_targeting,campaign_id,str,45000,45000,0,120
field_visits,visit_id,str,25000,25000,0,25000
field_visits,account_id,str,25000,25000,0,16908
field_visits,borrower_id,str,25000,25000,0,10537
field_visits,agent_id,str,25000,25000,0,1000
payments,payment_id,str,25500,25500,0,25000
payments,account_id,str,25500,25500,0,16934
payments,borrower_id,str,25500,25500,0,10474
payments,payment_reference,str,25500,25118,382,20821
payments,provider_id,str,25500,25500,0,15
promises_to_pay,ptp_id,str,18000,18000,0,18000
promises_to_pay,account_id,str,18000,18000,0,13532
promises_to_pay,borrower_id,str,18000,18000,0,9299
promises_to_pay,agent_id,str,18000,18000,0,1000
sms_events,sms_event_id,str,45000,45000,0,45000
sms_events,account_id,str,45000,45000,0,23207
sms_events,borrower_id,str,45000,45000,0,11728
sms_events,message_id,str,45000,45000,0,27001
sms_events,template_code,str,45000,45000,0,4
sms_events,provider_id,str,45000,45000,0,15
vendor_telephony,vendor_id,str,15,15,0,15
vendor_telephony,vendor_account_id,str,15,15,0,15
whatsapp_events,whatsapp_event_id,str,60600,60600,0,60000
whatsapp_events,account_id,str,60600,60600,0,25924
whatsapp_events,borrower_id,str,60600,60600,0,11917
whatsapp_events,message_id,str,60600,60600,0,34831
whatsapp_events,template_code,str,60600,60600,0,5
whatsapp_events,provider_id,str,60600,60600,0,15
