risk_segment,accounts,outstanding_amount,portfolio_share_pct,recovered_amount,successful_payments,paying_accounts,observed_recovery_rate_pct,dimension,dpd_band,status,loan_type
HIGH,7552,2646182591.51,25.228083469810848,331598234.29,4364,3300,12.531192494195157,risk_segment,,,
LOW,7513,2633311095.86,25.105369652676174,330857833.09,4467,3381,12.564327610595008,risk_segment,,,
MEDIUM,7533,2628179457.23,25.056445814952383,330510083.85,4422,3335,12.575628461777299,risk_segment,,,
NPA,7402,2581362198.4,24.610101062560602,322617813.41,4281,3268,12.497967685819816,risk_segment,,,
,2685,948218629.01,9.040093755073544,117461931.08,1587,1220,12.387642204692566,dpd_band,0,,
,10880,3834100517.71,36.55341403982149,471539790.7,6307,4719,12.298576641950884,dpd_band,1-30,,
,5514,1914490301.17,18.252300984452884,252777083.08,3352,2524,13.203361903976251,dpd_band,31-60,,
,5468,1895868396.28,18.07476411589397,238735656.37,3164,2436,12.59241711283536,dpd_band,61-90,,
,5453,1896357498.83,18.07942710475811,235069503.41,3124,2385,12.395843270851165,dpd_band,91-180,,
,7539,2637396836.2,25.144322141693443,332943258.28,4404,3315,12.623934847806579,status,,ACTIVE,
,7496,2636143246.96,25.132370716238135,325683388.16,4381,3325,12.354540616697445,status,,CLOSED,
,7486,2617539537.68,24.955007320352394,328724666.6,4379,3297,12.558536819327593,status,,PAID,
,7479,2597955722.16,24.768299821716024,328232651.6,4370,3347,12.634266581229486,status,,WRITEOFF,
,6079,2135300840.99,20.35745682194714,267933202.69,3559,2700,12.547796429742275,loan_type,,,AUTO
,5928,2058914629.71,19.629208620066713,255440002.99,3415,2580,12.40653688618352,loan_type,,,BNPL
,5930,2073112691.96,19.764569611670915,266976651.34,3566,2685,12.878057829436665,loan_type,,,CONSUMER
,6080,2126676940.25,20.27523857729459,268643213.62,3543,2690,12.632065008821689,loan_type,,,CREDIT_CARD
,5983,2095030240.09,19.973526369020643,256590894.0,3451,2629,12.2475985830628,loan_type,,,PERSONAL
