dataset,column,rows,missing_values,missing_pct
call_attempts,vendor_id,120000,2400,2.0
calls,agent_id,91350,1827,2.0
accounts,borrower_id,30000,455,1.52
payments,payment_reference,25500,382,1.5
account_status_history,account_id,60000,0,0.0
account_status_history,borrower_id,60000,0,0.0
account_status_history,history_id,60000,0,0.0
accounts,account_id,30000,0,0.0
agent_sessions,agent_id,15000,0,0.0
agent_sessions,device_id,15000,0,0.0
agent_sessions,session_id,15000,0,0.0
agents,agent_id,30000,0,0.0
agents,employee_code,30000,0,0.0
agents,vendor_id,30000,0,0.0
borrowers,borrower_id,30600,0,0.0
call_attempts,account_id,120000,0,0.0
call_attempts,agent_id,120000,0,0.0
call_attempts,attempt_id,120000,0,0.0
call_attempts,borrower_id,120000,0,0.0
call_attempts,call_id,120000,0,0.0
call_dispositions,account_id,35000,0,0.0
call_dispositions,agent_id,35000,0,0.0
call_dispositions,borrower_id,35000,0,0.0
call_dispositions,call_id,35000,0,0.0
call_dispositions,disposition_id,35000,0,0.0
calls,account_id,91350,0,0.0
calls,borrower_id,91350,0,0.0
calls,call_id,91350,0,0.0
calls,campaign_id,91350,0,0.0
calls,vendor_id,91350,0,0.0
campaigns,campaign_id,120,0,0.0
complaints,account_id,8000,0,0.0
complaints,borrower_id,8000,0,0.0
complaints,complaint_id,8000,0,0.0
daily_targeting,account_id,45000,0,0.0
daily_targeting,campaign_id,45000,0,0.0
daily_targeting,target_id,45000,0,0.0
field_visits,account_id,25000,0,0.0
field_visits,agent_id,25000,0,0.0
field_visits,borrower_id,25000,0,0.0
field_visits,visit_id,25000,0,0.0
payments,account_id,25500,0,0.0
payments,borrower_id,25500,0,0.0
payments,payment_id,25500,0,0.0
payments,provider_id,25500,0,0.0
promises_to_pay,account_id,18000,0,0.0
promises_to_pay,agent_id,18000,0,0.0
promises_to_pay,borrower_id,18000,0,0.0
promises_to_pay,ptp_id,18000,0,0.0
sms_events,account_id,45000,0,0.0
sms_events,borrower_id,45000,0,0.0
sms_events,message_id,45000,0,0.0
sms_events,provider_id,45000,0,0.0
sms_events,sms_event_id,45000,0,0.0
vendor_telephony,vendor_account_id,15,0,0.0
vendor_telephony,vendor_id,15,0,0.0
whatsapp_events,account_id,60600,0,0.0
whatsapp_events,borrower_id,60600,0,0.0
whatsapp_events,message_id,60600,0,0.0
whatsapp_events,provider_id,60600,0,0.0
whatsapp_events,whatsapp_event_id,60600,0,0.0
