payment_id,account_id,borrower_id,event_at,payment_reference,amount,payment_status,payment_method,provider_id
PAYMENT0001390,ACC0001624,BRW0004200,2026-05-14 07:52:59,TXN0000046535,85205.16,SUCCESS,CASH,VND0000015
PAYMENT0001390,ACC0001624,BRW0004200,2026-05-14 07:52:59,,85205.16,SUCCESS,CASH,VND0000015
PAYMENT0002098,ACC0023839,BRW0008653,2026-07-01 09:19:16,TXN0000001302,5570.92,SUCCESS,NETBANKING,VND0000001
PAYMENT0002098,ACC0023839,BRW0008653,2026-07-01 09:19:16,,5570.92,SUCCESS,NETBANKING,VND0000001
PAYMENT0002303,ACC0021362,BRW0001779,2026-06-15 03:09:47,TXN0000067311,59429.86,SUCCESS,CARD,VND0000011
PAYMENT0002303,ACC0021362,BRW0001779,2026-06-15 03:09:47,,59429.86,SUCCESS,CARD,VND0000011
PAYMENT0005191,ACC0001901,BRW0001234,2026-06-28 13:50:03,,107235.47,SUCCESS,NACH,VND0000002
PAYMENT0005191,ACC0001901,BRW0001234,2026-06-28 13:50:03,TXN0000041890,107235.47,SUCCESS,NACH,VND0000002
PAYMENT0007582,ACC0017962,BRW0008041,2026-03-26 12:49:42,,119714.2,SUCCESS,NETBANKING,VND0000014
PAYMENT0007582,ACC0017962,BRW0008041,2026-03-26 12:49:42,TXN0000013106,119714.2,SUCCESS,NETBANKING,VND0000014
PAYMENT0007751,ACC0012209,BRW0011720,2026-07-31 15:37:56,TXN0000002178,26769.34,FAILED,UPI,VND0000012
PAYMENT0007751,ACC0012209,BRW0011720,2026-07-31 15:37:56,,26769.34,FAILED,UPI,VND0000012
PAYMENT0008752,ACC0021963,BRW0009166,2026-03-28 07:12:20,TXN0000002752,7914.9,REVERSED,NETBANKING,VND0000009
PAYMENT0008752,ACC0021963,BRW0009166,2026-03-28 07:12:20,,7914.9,REVERSED,NETBANKING,VND0000009
PAYMENT0010558,ACC0025815,BRW0006108,2026-04-22 07:48:25,,90886.76,SUCCESS,UPI,VND0000009
PAYMENT0010558,ACC0025815,BRW0006108,2026-04-22 07:48:25,TXN0000011095,90886.76,SUCCESS,UPI,VND0000009
PAYMENT0016862,ACC0008139,BRW0003751,2026-02-21 04:12:01,TXN0000018518,125917.04,SUCCESS,NACH,VND0000011
PAYMENT0016862,ACC0008139,BRW0003751,2026-02-21 04:12:01,,125917.04,SUCCESS,NACH,VND0000011
PAYMENT0018134,ACC0027110,BRW0007702,2026-02-04 22:13:00,TXN0000048554,11244.17,SUCCESS,CASH,VND0000002
PAYMENT0018134,ACC0027110,BRW0007702,2026-02-04 22:13:00,,11244.17,SUCCESS,CASH,VND0000002
PAYMENT0020773,ACC0027129,BRW0006810,2026-05-07 19:00:27,TXN0000041701,142140.72,PENDING,CARD,VND0000014
PAYMENT0020773,ACC0027129,BRW0006810,2026-05-07 19:00:27,,142140.72,PENDING,CARD,VND0000014
PAYMENT0021491,ACC0024186,BRW0003097,2026-06-01 07:33:53,TXN0000001605,127057.56,SUCCESS,NETBANKING,VND0000004
PAYMENT0021491,ACC0024186,BRW0003097,2026-06-01 07:33:53,,127057.56,SUCCESS,NETBANKING,VND0000004
PAYMENT0022165,ACC0028461,BRW0011674,2026-03-27 15:20:05,TXN0000047686,62274.66,SUCCESS,NETBANKING,VND0000015
PAYMENT0022165,ACC0028461,BRW0011674,2026-03-27 15:20:05,,62274.66,SUCCESS,NETBANKING,VND0000015
PAYMENT0023164,ACC0011990,BRW0005499,2026-03-19 07:38:03,TXN0000037320,95963.7,SUCCESS,UPI,VND0000006
PAYMENT0023164,ACC0011990,BRW0005499,2026-03-19 07:38:03,,95963.7,SUCCESS,UPI,VND0000006
