metric,first_month,last_month,first_value,last_value,overall_change_abs,overall_change_pct
recovered_amount,2025-12,2026-08,0.0,47109695.31,47109695.31,
successful_payments,2025-12,2026-08,0.0,616.0,616.0,
calls,2025-12,2026-08,1.0,3211.0,3210.0,321000.0
answered_calls,2025-12,2026-08,0.0,630.0,630.0,
answer_rate_pct,2025-12,2026-08,0.0,19.6201,19.6201,
ptps,2025-12,2026-08,0.0,685.0,685.0,
ptps_kept,2025-12,2026-08,0.0,0.0,0.0,
ptp_kept_rate_pct,2025-12,2026-08,,0.0,,
recovered_per_call,2025-12,2026-08,0.0,14671.347,14671.347,
recovered_per_answered_call,2025-12,2026-08,,74777.29414285715,,
