child_table,child_column,parent_table,parent_column
accounts,borrower_id,borrowers,borrower_id
agent_sessions,agent_id,agents,agent_id
daily_targeting,account_id,accounts,account_id
daily_targeting,campaign_id,campaigns,campaign_id
calls,account_id,accounts,account_id
calls,borrower_id,borrowers,borrower_id
calls,agent_id,agents,agent_id
calls,campaign_id,campaigns,campaign_id
call_attempts,account_id,accounts,account_id
call_attempts,borrower_id,borrowers,borrower_id
call_attempts,call_id,calls,call_id
call_attempts,agent_id,agents,agent_id
call_dispositions,account_id,accounts,account_id
call_dispositions,borrower_id,borrowers,borrower_id
call_dispositions,call_id,calls,call_id
call_dispositions,agent_id,agents,agent_id
whatsapp_events,account_id,accounts,account_id
whatsapp_events,borrower_id,borrowers,borrower_id
sms_events,account_id,accounts,account_id
sms_events,borrower_id,borrowers,borrower_id
field_visits,account_id,accounts,account_id
field_visits,borrower_id,borrowers,borrower_id
field_visits,agent_id,agents,agent_id
promises_to_pay,account_id,accounts,account_id
promises_to_pay,borrower_id,borrowers,borrower_id
promises_to_pay,agent_id,agents,agent_id
payments,account_id,accounts,account_id
payments,borrower_id,borrowers,borrower_id
complaints,account_id,accounts,account_id
complaints,borrower_id,borrowers,borrower_id
account_status_history,account_id,accounts,account_id
account_status_history,borrower_id,borrowers,borrower_id
agents,vendor_id,vendor_telephony,vendor_id
