dataset,column,dtype
account_status_history,history_id,str
account_status_history,account_id,str
account_status_history,borrower_id,str
account_status_history,event_at,str
account_status_history,status,str
account_status_history,changed_by,str
account_status_history,source,str
account_status_history,recorded_at,str
accounts,account_id,str
accounts,borrower_id,str
accounts,loan_type,str
accounts,principal_amount,float64
accounts,outstanding_amount,float64
accounts,dpd,int64
accounts,risk_segment,str
accounts,status,str
accounts,opened_at,str
accounts,timezone,str
accounts,schema_version,str
agent_sessions,session_id,str
agent_sessions,agent_id,str
agent_sessions,login_at,str
agent_sessions,channel,str
agent_sessions,device_id,str
agent_sessions,timezone,str
agent_sessions,logout_at,str
agents,agent_id,str
agents,employee_code,str
agents,agent_name,str
agents,vendor_id,str
agents,team,str
agents,status,str
agents,joined_at,str
agents,updated_at,str
borrowers,borrower_id,str
borrowers,name,str
borrowers,phone,float64
borrowers,email,str
borrowers,city,str
borrowers,created_at,str
borrowers,updated_at,str
borrowers,state,str
call_attempts,attempt_id,str
call_attempts,account_id,str
call_attempts,borrower_id,str
call_attempts,event_at,str
call_attempts,call_id,str
call_attempts,agent_id,str
call_attempts,attempt_no,int64
call_attempts,vendor_id,str
call_attempts,attempt_status,str
call_dispositions,disposition_id,str
call_dispositions,account_id,str
call_dispositions,borrower_id,str
call_dispositions,event_at,str
call_dispositions,call_id,str
call_dispositions,agent_id,str
call_dispositions,disposition_code,str
call_dispositions,disposition_version,str
calls,call_id,str
calls,account_id,str
calls,borrower_id,str
calls,event_at,str
calls,agent_id,str
calls,campaign_id,str
calls,direction,str
calls,vendor_id,str
calls,call_status,str
calls,duration_sec,int64
calls,timezone,str
campaigns,campaign_id,str
campaigns,campaign_name,str
campaigns,channel,str
campaigns,strategy_version,str
campaigns,start_at,str
campaigns,target_definition,str
campaigns,end_at,str
complaints,complaint_id,str
complaints,account_id,str
complaints,borrower_id,str
complaints,event_at,str
complaints,complaint_type,str
complaints,severity,str
complaints,status,str
complaints,source,str
complaints,resolution_at,str
daily_targeting,target_id,str
daily_targeting,account_id,str
daily_targeting,campaign_id,str
daily_targeting,target_date,str
daily_targeting,priority,int64
daily_targeting,recommended_channel,str
daily_targeting,status,str
data_dictionary,dataset,str
data_dictionary,column,str
data_dictionary,dtype,str
field_visits,visit_id,str
field_visits,account_id,str
field_visits,borrower_id,str
field_visits,event_at,str
field_visits,agent_id,str
field_visits,visit_type,str
field_visits,outcome,str
field_visits,latitude,float64
field_visits,longitude,float64
field_visits,scheduled_at,str
payments,payment_id,str
payments,account_id,str
payments,borrower_id,str
payments,event_at,str
payments,payment_reference,str
payments,amount,float64
payments,payment_status,str
payments,payment_method,str
payments,provider_id,str
promises_to_pay,ptp_id,str
promises_to_pay,account_id,str
promises_to_pay,borrower_id,str
promises_to_pay,event_at,str
promises_to_pay,agent_id,str
promises_to_pay,promised_amount,float64
promises_to_pay,promised_date,str
promises_to_pay,status,str
promises_to_pay,source,str
sms_events,sms_event_id,str
sms_events,account_id,str
sms_events,borrower_id,str
sms_events,event_at,str
sms_events,message_id,str
sms_events,event_type,str
sms_events,template_code,str
sms_events,provider_id,str
vendor_telephony,vendor_id,str
vendor_telephony,vendor_name,str
vendor_telephony,vendor_account_id,str
vendor_telephony,timezone,str
vendor_telephony,status,str
vendor_telephony,schema_version,str
whatsapp_events,whatsapp_event_id,str
whatsapp_events,account_id,str
whatsapp_events,borrower_id,str
whatsapp_events,event_at,str
whatsapp_events,message_id,str
whatsapp_events,event_type,str
whatsapp_events,template_code,str
whatsapp_events,provider_id,str
