risk_segment,accounts,outstanding_amount,recovered_amount,paying_accounts,successful_payments,recovery_rate_pct,dimension,dpd_band,status,loan_type
HIGH,7552,2646182591.51,331598234.29,3300,4364,12.531192494195157,risk_segment,,,
LOW,7513,2633311095.86,330857833.09,3381,4467,12.564327610595008,risk_segment,,,
MEDIUM,7533,2628179457.23,330510083.85,3335,4422,12.575628461777299,risk_segment,,,
NPA,7402,2581362198.4,322617813.41,3268,4281,12.497967685819816,risk_segment,,,
,2685,948218629.01,117461931.08,1220,1587,12.387642204692566,dpd_band,0,,
,10880,3834100517.71,471539790.7,4719,6307,12.298576641950884,dpd_band,1-30,,
,5514,1914490301.17,252777083.08,2524,3352,13.203361903976251,dpd_band,31-60,,
,5468,1895868396.28,238735656.37,2436,3164,12.59241711283536,dpd_band,61-90,,
,5453,1896357498.83,235069503.41,2385,3124,12.395843270851165,dpd_band,91-180,,
,7539,2637396836.2,332943258.28,3315,4404,12.623934847806579,status,,ACTIVE,
,7496,2636143246.96,325683388.16,3325,4381,12.354540616697445,status,,CLOSED,
,7486,2617539537.68,328724666.6,3297,4379,12.558536819327593,status,,PAID,
,7479,2597955722.16,328232651.6,3347,4370,12.634266581229486,status,,WRITEOFF,
,6079,2135300840.99,267933202.69,2700,3559,12.547796429742275,loan_type,,,AUTO
,5928,2058914629.71,255440002.99,2580,3415,12.40653688618352,loan_type,,,BNPL
,5930,2073112691.96,266976651.34,2685,3566,12.878057829436665,loan_type,,,CONSUMER
,6080,2126676940.25,268643213.62,2690,3543,12.632065008821689,loan_type,,,CREDIT_CARD
,5983,2095030240.09,256590894.0,2629,3451,12.2475985830628,loan_type,,,PERSONAL
