dataset,rows,candidate_key,unique_key_values,min_rows_per_key,max_rows_per_key,average_rows_per_key,duplicate_key_groups
account_status_history,60000,history_id,60000,1,1,1.0,0
accounts,30000,account_id,30000,1,1,1.0,0
agent_sessions,15000,session_id,15000,1,1,1.0,0
agents,30000,agent_id,1000,14,48,30.0,1000
borrowers,30600,borrower_id,11015,1,11,2.778,8566
call_attempts,120000,attempt_id,120000,1,1,1.0,0
call_dispositions,35000,disposition_id,35000,1,1,1.0,0
calls,91350,call_id,90000,1,2,1.015,1350
campaigns,120,campaign_id,120,1,1,1.0,0
complaints,8000,complaint_id,8000,1,1,1.0,0
daily_targeting,45000,target_id,45000,1,1,1.0,0
field_visits,25000,visit_id,25000,1,1,1.0,0
payments,25500,payment_id,25000,1,2,1.02,500
promises_to_pay,18000,ptp_id,18000,1,1,1.0,0
sms_events,45000,sms_event_id,45000,1,1,1.0,0
vendor_telephony,15,vendor_id,15,1,1,1.0,0
whatsapp_events,60600,whatsapp_event_id,60000,1,2,1.01,600
