whatsapp_event_id,rows,account_id_unique,borrower_id_unique,event_at_unique,message_id_unique,event_type_unique,template_code_unique,provider_id_unique,difference_count,exact_duplicate
WHATSAPP_EVENT0000057,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0000233,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0000244,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0000535,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0000640,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0000699,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0000765,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0000819,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0000950,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0000973,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0001029,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0001176,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0001233,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0001464,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0001465,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0001489,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0001532,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0001715,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0001813,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0001863,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0001900,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0002303,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0002356,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0002432,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0002468,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0002475,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0002513,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0002589,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0002597,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0002598,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0002606,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0002659,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0002739,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0002900,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0003065,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0003163,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0003310,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0003330,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0003494,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0003668,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0003686,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0003803,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0003921,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0003983,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0004475,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0004511,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0004712,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0004759,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0004827,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0004878,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0005072,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0005075,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0005196,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0005436,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0005449,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0005494,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0005570,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0005652,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0005707,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0005758,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0005980,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0005992,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0006406,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0006435,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0006684,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0006738,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0006940,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0006998,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0007006,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0007181,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0007355,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0007396,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0007576,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0007662,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0007768,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0007778,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0007891,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0008024,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0008053,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0008456,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0008553,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0008554,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0008686,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0008874,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0008888,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0008890,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0008920,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0008944,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0009225,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0009331,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0009429,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0009574,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0009593,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0009673,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0009835,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0009850,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010035,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010057,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010148,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010184,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010210,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010272,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010333,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010348,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010460,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010507,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010526,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010534,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010590,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010604,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010628,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010705,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010730,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0010921,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011060,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011120,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011128,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011170,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011200,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011224,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011250,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011273,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011393,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011427,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011633,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011715,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011778,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011851,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011870,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0011972,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012033,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012055,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012091,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012163,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012205,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012272,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012323,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012429,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012468,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012567,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012655,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012700,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012741,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012761,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012851,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0012899,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0013068,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0013296,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0013479,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0013622,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0013956,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0014019,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0014150,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0014158,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0014159,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0014243,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0014303,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0014332,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0014417,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0014534,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0014796,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0014901,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0014906,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0014955,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0015120,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0015150,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0015315,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0015369,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0015385,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0015417,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0015483,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0015497,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0015555,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0015565,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0015566,2,1,1,1,1,1,1,1,0,True
WHATSAPP_EVENT0015657,2,1,1,1,1,1,1,1,0,True
